run,b,ic,t,x,sigma
13,0.2,0.0531938268203712,1.92,5.7484021840846,0.01
13,0.2,0.0531938268203712,1.93,5.74984579501496,0.01
13,0.2,0.0531938268203712,1.94,5.74951517765939,0.01
13,0.2,0.0531938268203712,1.95,5.75008227187367,0.01
13,0.2,0.0531938268203712,1.96,5.75000761032759,0.01
13,0.2,0.0531938268203712,1.97,5.74843730680965,0.01
13,0.2,0.0531938268203712,1.98,5.74732219950431,0.01
13,0.2,0.0531938268203712,1.99,5.74829912110727,0.01
13,0.2,0.0531938268203712,2,5.74936336595468,0.01
13,1.1,1.73280962103094,0,1.73280962103094,0.01
13,1.1,1.73280962103094,0.01,1.73227534289457,0.01
13,1.1,1.73280962103094,0.02,1.73147212592564,0.01
13,1.1,1.73280962103094,0.03,1.73087053006316,0.01
13,1.1,1.73280962103094,0.04,1.73101948599336,0.01
13,1.1,1.73280962103094,0.05,1.73091905572789,0.01
13,1.1,1.73280962103094,0.06,1.73151120191635,0.01
13,1.1,1.73280962103094,0.07,1.73087759791358,0.01
13,1.1,1.73280962103094,0.08,1.73139091230819,0.01
13,1.1,1.73280962103094,0.09,1.73202452190802,0.01
13,1.1,1.73280962103094,0.1,1.73072004268847,0.01
13,1.1,1.73280962103094,0.11,1.72783682728088,0.01
13,1.1,1.73280962103094,0.12,1.7284244699729,0.01
13,1.1,1.73280962103094,0.13,1.7266495333859,0.01
13,1.1,1.73280962103094,0.14,1.72675380568624,0.01
13,1.1,1.73280962103094,0.15,1.72607547405773,0.01
13,1.1,1.73280962103094,0.16,1.72446765361521,0.01
13,1.1,1.73280962103094,0.17,1.7205135066732,0.01
13,1.1,1.73280962103094,0.18,1.71944292030786,0.01
13,1.1,1.73280962103094,0.19,1.71638950952285,0.01
13,1.1,1.73280962103094,0.2,1.7136155965594,0.01
13,1.1,1.73280962103094,0.21,1.71218228995214,0.01
13,1.1,1.73280962103094,0.22,1.70836248696755,0.01
13,1.1,1.73280962103094,0.23,1.70384221886261,0.01
13,1.1,1.73280962103094,0.24,1.69793375933097,0.01
13,1.1,1.73280962103094,0.25,1.6916408897387,0.01
13,1.1,1.73280962103094,0.26,1.68575454180671,0.01
13,1.1,1.73280962103094,0.27,1.67693319133673,0.01
13,1.1,1.73280962103094,0.28,1.66831547733362,0.01
13,1.1,1.73280962103094,0.29,1.65758908804824,0.01
13,1.1,1.73280962103094,0.3,1.64388515781392,0.01
13,1.1,1.73280962103094,0.31,1.62668907267381,0.01
13,1.1,1.73280962103094,0.32,1.60595365952125,0.01
13,1.1,1.73280962103094,0.33,1.58041400830725,0.01
13,1.1,1.73280962103094,0.34,1.549917794379,0.01
13,1.1,1.73280962103094,0.35,1.51514816546096,0.01
13,1.1,1.73280962103094,0.36,1.47312957711698,0.01
13,1.1,1.73280962103094,0.37,1.42259530925026,0.01
13,1.1,1.73280962103094,0.38,1.36122619397341,0.01
13,1.1,1.73280962103094,0.39,1.28695478872091,0.01
13,1.1,1.73280962103094,0.4,1.19647318725084,0.01
13,1.1,1.73280962103094,0.41,1.0823303196599,0.01
13,1.1,1.73280962103094,0.42,0.941177416973071,0.01
13,1.1,1.73280962103094,0.43,0.766199947773579,0.01
13,1.1,1.73280962103094,0.44,0.550764721652611,0.01
13,1.1,1.73280962103094,0.45,0.287909062087078,0.01
13,1.1,1.73280962103094,0.46,-0.00541978921171313,0.01
13,1.1,1.73280962103094,0.47,-0.121975568649236,0.01
13,1.1,1.73280962103094,0.48,0.540908443172075,0.01
13,1.1,1.73280962103094,0.49,0.889748800838981,0.01
13,1.1,1.73280962103094,0.5,0.592968171626735,0.01
13,1.1,1.73280962103094,0.51,0.375783595962324,0.01
13,1.1,1.73280962103094,0.52,0.0709725557491285,0.01
13,1.1,1.73280962103094,0.53,-0.141638388885454,0.01
13,1.1,1.73280962103094,0.54,0.803535309006508,0.01
13,1.1,1.73280962103094,0.55,1.49557001789416,0.01
13,1.1,1.73280962103094,0.56,1.27760147886494,0.01
13,1.1,1.73280962103094,0.57,1.24385811844598,0.01
13,1.1,1.73280962103094,0.58,1.1103366460508,0.01
13,1.1,1.73280962103094,0.59,0.998621619450347,0.01
13,1.1,1.73280962103094,0.6,0.825249228389418,0.01
13,1.1,1.73280962103094,0.61,0.633970065121828,0.01
13,1.1,1.73280962103094,0.62,0.38022167682595,0.01
13,1.1,1.73280962103094,0.63,0.0985963027018415,0.01
13,1.1,1.73280962103094,0.64,-0.148979857198304,0.01
13,1.1,1.73280962103094,0.65,1.00396472199149,0.01
13,1.1,1.73280962103094,0.66,1.89267645031296,0.01
13,1.1,1.73280962103094,0.67,1.73336964932825,0.01
13,1.1,1.73280962103094,0.68,1.79272240221004,0.01
13,1.1,1.73280962103094,0.69,1.77384827604906,0.01
13,1.1,1.73280962103094,0.7,1.79715348318043,0.01
13,1.1,1.73280962103094,0.71,1.79677335194478,0.01
13,1.1,1.73280962103094,0.72,1.81587362725562,0.01
13,1.1,1.73280962103094,0.73,1.82385854532224,0.01
13,1.1,1.73280962103094,0.74,1.84463164606599,0.01
13,1.1,1.73280962103094,0.75,1.86031102776687,0.01
13,1.1,1.73280962103094,0.76,1.8858781171575,0.01
13,1.1,1.73280962103094,0.77,1.9103827212324,0.01
13,1.1,1.73280962103094,0.78,1.94100580827937,0.01
13,1.1,1.73280962103094,0.79,1.97552575176937,0.01
13,1.1,1.73280962103094,0.8,2.01609338410808,0.01
13,1.1,1.73280962103094,0.81,2.06116230209246,0.01
13,1.1,1.73280962103094,0.82,2.11445874451113,0.01
13,1.1,1.73280962103094,0.83,2.1726417407472,0.01
13,1.1,1.73280962103094,0.84,2.24093831614541,0.01
13,1.1,1.73280962103094,0.85,2.31600464747344,0.01
13,1.1,1.73280962103094,0.86,2.39992615240751,0.01
13,1.1,1.73280962103094,0.87,2.48959750172796,0.01
13,1.1,1.73280962103094,0.88,2.58964207217527,0.01
13,1.1,1.73280962103094,0.89,2.69428684481659,0.01
13,1.1,1.73280962103094,0.9,2.80603322608644,0.01
13,1.1,1.73280962103094,0.91,2.92183156654161,0.01
13,1.1,1.73280962103094,0.92,3.04074562001192,0.01
13,1.1,1.73280962103094,0.93,3.15581222492529,0.01
13,1.1,1.73280962103094,0.94,3.26872461362665,0.01
13,1.1,1.73280962103094,0.95,3.37708664504179,0.01
13,1.1,1.73280962103094,0.96,3.47737191206299,0.01
13,1.1,1.73280962103094,0.97,3.57086606981104,0.01
13,1.1,1.73280962103094,0.98,3.65397561685671,0.01
13,1.1,1.73280962103094,0.99,3.72614615125449,0.01
13,1.1,1.73280962103094,1,3.78803538738623,0.01
13,1.1,1.73280962103094,1.01,3.841827594154,0.01
13,1.1,1.73280962103094,1.02,3.88677731942427,0.01
13,1.1,1.73280962103094,1.03,3.92285606622436,0.01
13,1.1,1.73280962103094,1.04,3.95369431908401,0.01
13,1.1,1.73280962103094,1.05,3.9766407411387,0.01
13,1.1,1.73280962103094,1.06,3.99464200845994,0.01
13,1.1,1.73280962103094,1.07,4.01131381969664,0.01
13,1.1,1.73280962103094,1.08,4.02318621801563,0.01
13,1.1,1.73280962103094,1.09,4.03198329914892,0.01
13,1.1,1.73280962103094,1.1,4.03922924013639,0.01
13,1.1,1.73280962103094,1.11,4.04722139408797,0.01
13,1.1,1.73280962103094,1.12,4.05168477022949,0.01
13,1.1,1.73280962103094,1.13,4.05497637675945,0.01
13,1.1,1.73280962103094,1.14,4.05655575425195,0.01
13,1.1,1.73280962103094,1.15,4.05885956496535,0.01
13,1.1,1.73280962103094,1.16,4.06104690205185,0.01
13,1.1,1.73280962103094,1.17,4.06230688871518,0.01
13,1.1,1.73280962103094,1.18,4.06167301075864,0.01
13,1.1,1.73280962103094,1.19,4.06249915314971,0.01
13,1.1,1.73280962103094,1.2,4.06316386229769,0.01
13,1.1,1.73280962103094,1.21,4.06496839247682,0.01
13,1.1,1.73280962103094,1.22,4.06676223802932,0.01
13,1.1,1.73280962103094,1.23,4.06663722057101,0.01
13,1.1,1.73280962103094,1.24,4.06616547205704,0.01
13,1.1,1.73280962103094,1.25,4.06635127064679,0.01
13,1.1,1.73280962103094,1.26,4.06835467669792,0.01
13,1.1,1.73280962103094,1.27,4.06782014031465,0.01
13,1.1,1.73280962103094,1.28,4.0677746421376,0.01
13,1.1,1.73280962103094,1.29,4.06823026579163,0.01
13,1.1,1.73280962103094,1.3,4.06875089997,0.01
13,1.1,1.73280962103094,1.31,4.06766704816049,0.01
13,1.1,1.73280962103094,1.32,4.06729407318842,0.01
13,1.1,1.73280962103094,1.33,4.06693231274399,0.01
13,1.1,1.73280962103094,1.34,4.06742106323935,0.01
13,1.1,1.73280962103094,1.35,4.06769493098406,0.01
13,1.1,1.73280962103094,1.36,4.06862764207411,0.01
13,1.1,1.73280962103094,1.37,4.06952051370926,0.01
13,1.1,1.73280962103094,1.38,4.06785027982708,0.01
13,1.1,1.73280962103094,1.39,4.06766713904858,0.01
13,1.1,1.73280962103094,1.4,4.06656098277278,0.01
13,1.1,1.73280962103094,1.41,4.06711708914896,0.01
13,1.1,1.73280962103094,1.42,4.06624908763266,0.01
13,1.1,1.73280962103094,1.43,4.06766955090323,0.01
13,1.1,1.73280962103094,1.44,4.0688489217008,0.01
13,1.1,1.73280962103094,1.45,4.06804065235076,0.01
13,1.1,1.73280962103094,1.46,4.06824269675796,0.01
13,1.1,1.73280962103094,1.47,4.06902082495304,0.01
13,1.1,1.73280962103094,1.48,4.06866799012714,0.01
13,1.1,1.73280962103094,1.49,4.06805565392957,0.01
13,1.1,1.73280962103094,1.5,4.06819754986089,0.01
13,1.1,1.73280962103094,1.51,4.06868597359866,0.01
13,1.1,1.73280962103094,1.52,4.06892801115126,0.01
13,1.1,1.73280962103094,1.53,4.068255637171,0.01
13,1.1,1.73280962103094,1.54,4.06828159948107,0.01
13,1.1,1.73280962103094,1.55,4.06982698707666,0.01
13,1.1,1.73280962103094,1.56,4.06928978552713,0.01
13,1.1,1.73280962103094,1.57,4.06777482165082,0.01
13,1.1,1.73280962103094,1.58,4.06630461222638,0.01
13,1.1,1.73280962103094,1.59,4.06684554982534,0.01
13,1.1,1.73280962103094,1.6,4.06911158177739,0.01
13,1.1,1.73280962103094,1.61,4.06905062218175,0.01
13,1.1,1.73280962103094,1.62,4.06863176438031,0.01
13,1.1,1.73280962103094,1.63,4.06967898171466,0.01
13,1.1,1.73280962103094,1.64,4.06848593324098,0.01
13,1.1,1.73280962103094,1.65,4.06664964539334,0.01
13,1.1,1.73280962103094,1.66,4.0647610443139,0.01
13,1.1,1.73280962103094,1.67,4.06502304818255,0.01
13,1.1,1.73280962103094,1.68,4.06525576691416,0.01
13,1.1,1.73280962103094,1.69,4.06504076930348,0.01
13,1.1,1.73280962103094,1.7,4.06643141392514,0.01
13,1.1,1.73280962103094,1.71,4.06809132650063,0.01
13,1.1,1.73280962103094,1.72,4.06648423105752,0.01
13,1.1,1.73280962103094,1.73,4.06581666812841,0.01
13,1.1,1.73280962103094,1.74,4.0665905673853,0.01
13,1.1,1.73280962103094,1.75,4.06568754219489,0.01
13,1.1,1.73280962103094,1.76,4.06713179802005,0.01
13,1.1,1.73280962103094,1.77,4.06855630717195,0.01
